title,slug,active_installs,relevance,review_count,avg_rating
Premium Blocks for Gutenberg,premium-blocks-for-gutenberg,4000,0,22,5
PDF &amp; Print by BestWebSoft,pdf-print,10000,0,73,4.2
Quick Adsense,quick-adsense,100000,0,72,4
Genesis Dambuster,genesis-dambuster,10000,0,30,4.9
"Arrow YouTube Feed, Youtube Channel Feed",add-youtube-feed,1000,0,2,3
Shortcodes and extra features for Phlox theme,auxin-elements,40000,0,0,0
YouTube Channel,youtube-channel,10000,0,36,4.3
Video Recorder,video-capture,0,1,24,4.4
2Checkout Payment Gateway for WooCommerce,woocommerce-2checkout-payment,2000,0,14,4.1
Tiny carousel horizontal slider plus,tiny-carousel-horizontal-slider-plus,2000,0,3,5
Docxpresso,docxpresso,6000,0,25,4.6
Postmark for WordPress,postmark-approved-wordpress-plugin,10000,0,15,5
New Google Plus Badge Widget,new-google-plus-badge-widget,10000,0,12,4.6
Bradmax Player,bradmax-player,300,0,4,4.8
Image Hover Effects Addon for Elementor,image-hover-effects-addon-for-elementor,9000,0,13,4.9
Live Chat by Customerly &#8211; Free Live Chat Plugin,customerly,500,0,8,4.5
Google Sitemap by BestWebSoft,google-sitemap-plugin,70000,0,111,4.3
Import YouTube videos as WP Posts,import-youtube-videos-as-wp-post,1000,1,8,3.5
VdoCipher,vdocipher,500,0,6,4.7
Ultimate Carousel For WPBakery Page Builder (formerly Visual Composer),ultimate-carousel-for-visual-composer,10000,0,13,4.8
OWL Carousel Slider,lgx-owl-carousel,1000,0,11,3.9
Genesis Layout Extras &#8211; Default Layouts in Genesis for WordPress,genesis-layout-extras,10000,0,7,5
YouTube Gallery &#8211; YouTube Channel,yottie-lite,4000,0,5,3
"WP Coder &#8211; add custom html, css and js code",wp-coder,3000,0,5,5
Visitors Online by BestWebSoft,visitors-online,3000,0,6,4.3
Hide Related Video Youtube,hide-related-video-youtube,600,1,0,0
LoftLoader,loftloader,10000,0,16,4.7
Insert Post Ads,insert-post-ads,20000,0,19,4.4
Carousel Anything For WPBakery Page Builder (formerly Visual Composer),carousel-anything,800,0,1,5
Gallery by BestWebSoft,gallery-plugin,40000,0,157,4
Product Slider,product-slider,900,0,5,4.2
Testimonial Rotator,testimonial-rotator,50000,0,78,4.4
Social Media Share Buttons | MashShare,mashsharer,70000,0,954,4.8
Orion SMS OTP Verification,orion-sms-otp-verification,1000,0,63,4.8
WooCommerce PayPal Pro Payment Gateway,woocommerce-paypal-pro-payment-gateway,5000,0,6,4.3
Popup anything on click,popup-anything-on-click,20000,0,26,4.4
Unfiltered MU,unfiltered-mu,7000,0,10,4.9
WordPress Gallery MaxGalleria,maxgalleria,5000,0,57,4.4
Hero Banner Ultimate,hero-banner-ultimate,500,0,1,5
Content Egg,content-egg,20000,0,19,4.5
